
File: /tmp/RD75/lib/rdr_lib/librdrcommon.a(rdr_common.o)

Symbol table '.symtab' contains 757 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   114: 00000000     0 NOTYPE  LOCAL  DEFAULT   72 $t
   115: 00000104     0 NOTYPE  LOCAL  DEFAULT   72 $d
   116: 00000000     0 SECTION LOCAL  DEFAULT   74 .text.User_Wakeup
   117: 00000000     0 NOTYPE  LOCAL  DEFAULT   74 $t
   118: 00000014     0 NOTYPE  LOCAL  DEFAULT   74 $d
   119: 00000000     0 SECTION LOCAL  DEFAULT   76 .text.es_change_[...]
   120: 00000000     0 NOTYPE  LOCAL  DEFAULT   76 $t
   121: 00000024     0 NOTYPE  LOCAL  DEFAULT   76 $d
   122: 00000000     0 SECTION LOCAL  DEFAULT   78 .text.es_change_[...]
   123: 00000000     0 NOTYPE  LOCAL  DEFAULT   78 $t
   124: 00000024     0 NOTYPE  LOCAL  DEFAULT   78 $d
   125: 00000000     0 SECTION LOCAL  DEFAULT   80 .text.User_Keybo[...]
   126: 00000000     0 NOTYPE  LOCAL  DEFAULT   80 $t
   127: 00000038     0 NOTYPE  LOCAL  DEFAULT   80 $d
   128: 00000000     0 SECTION LOCAL  DEFAULT   82 .text.User_Usb_Init
   129: 00000000     0 NOTYPE  LOCAL  DEFAULT   82 $t
   130: 00000020     0 NOTYPE  LOCAL  DEFAULT   82 $d
   131: 00000000     0 SECTION LOCAL  DEFAULT   83 .text.es_restart[...]
   132: 00000000     0 NOTYPE  LOCAL  DEFAULT   83 $t
   133: 00000030     0 NOTYPE  LOCAL  DEFAULT   83 $d
   134: 00000000     0 SECTION LOCAL  DEFAULT   85 .text.Usb_Disconnect
   135: 00000000     0 NOTYPE  LOCAL  DEFAULT   85 $t
   136: 00000028     0 NOTYPE  LOCAL  DEFAULT   85 $d
   137: 00000000     0 SECTION LOCAL  DEFAULT   87 .text.User_Usb_Deinit
   138: 00000000     0 NOTYPE  LOCAL  DEFAULT   87 $t
